Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   1.56            4.24                  0.93% , 1.14          809.47 , 821.00          383.04 , 342.00            1240.03 , 1221.00       52.57
   1.56            0.73                  0.94% , 1.00          818.18 , 821.00          336.00 , 342.00            1201.99 , 1221.00        8.82
   1.58            6.99                  0.89% , 1.13          774.66 , 821.00          379.68 , 342.00            1201.67 , 1221.00       84.02
   1.58            2.43                  0.95% , 1.09          826.88 , 821.00          366.24 , 342.00            1240.23 , 1221.00       30.12
    1.6            9.84                  0.87% , 1.18          757.25 , 821.00          396.48 , 342.00            1201.47 , 1221.00      118.23
    1.6            5.55                  1.00% , 0.96          870.40 , 821.00          322.56 , 342.00            1240.55 , 1221.00       68.84
   1.61            7.52                  0.99% , 0.87          861.70 , 821.00          292.32 , 342.00            1201.31 , 1221.00       90.38
   1.62            8.31                  1.02% , 0.91          887.81 , 821.00          305.76 , 342.00            1240.75 , 1221.00      103.05
   1.63            4.68                  0.97% , 0.92          844.29 , 821.00          309.12 , 342.00            1201.11 , 1221.00       56.17
   1.65            5.75                  0.92% , 1.17          800.77 , 821.00          393.12 , 342.00            1241.11 , 1221.00       71.35
   1.66            2.58                  0.92% , 1.05          800.77 , 821.00          352.80 , 342.00            1200.79 , 1221.00       31.03
   1.67            5.43                  0.90% , 1.10          783.36 , 821.00          369.60 , 342.00            1200.59 , 1221.00       65.24
   1.67            2.48                  0.97% , 1.04          844.29 , 821.00          349.44 , 342.00            1241.43 , 1221.00       30.73
   1.69            4.03                  0.99% , 0.99          861.70 , 821.00          332.64 , 342.00            1241.63 , 1221.00       50.06
    1.7            9.09                  1.00% , 0.84          870.40 , 821.00          282.24 , 342.00            1200.23 , 1221.00      109.16
   1.72           11.05                  1.04% , 0.86          905.22 , 821.00          288.96 , 342.00            1241.95 , 1221.00      137.26
   1.73            1.83                  0.95% , 0.97          826.88 , 821.00          325.92 , 342.00            1199.91 , 1221.00       21.96
   1.73            13.8                  1.06% , 0.81          922.62 , 821.00          272.16 , 342.00            1242.15 , 1221.00      171.46
   1.74            1.02                  0.93% , 1.02          809.47 , 821.00          342.72 , 342.00            1199.71 , 1221.00       12.25
   1.75            2.99                  0.94% , 1.12          818.18 , 821.00          376.32 , 342.00            1242.31 , 1221.00       37.14
   1.76            3.87                  0.91% , 1.07          792.06 , 821.00          359.52 , 342.00            1199.51 , 1221.00       46.46
   1.76            2.58                  0.96% , 1.07          835.58 , 821.00          359.52 , 342.00            1242.51 , 1221.00        32.1
   1.77            8.29                  0.88% , 1.15          765.95 , 821.00          386.40 , 342.00            1199.39 , 1221.00       99.45
   1.78            2.63                  0.98% , 1.02          852.99 , 821.00          342.72 , 342.00            1242.71 , 1221.00       32.71
   1.79           10.67                  1.01% , 0.81          879.10 , 821.00          272.16 , 342.00            1199.15 , 1221.00      127.94
   1.79            6.78                  1.01% , 0.94          879.10 , 821.00          315.84 , 342.00            1242.83 , 1221.00       84.26
    1.8            6.25                  0.98% , 0.89          852.99 , 821.00          299.04 , 342.00            1199.03 , 1221.00       74.95
    1.8            9.53                  1.03% , 0.89          896.51 , 821.00          299.04 , 342.00            1243.03 , 1221.00      118.47
   1.82             3.4                  0.96% , 0.94          835.58 , 821.00          315.84 , 342.00            1198.83 , 1221.00       40.74
   1.82           12.28                  1.05% , 0.84          913.92 , 821.00          282.24 , 342.00            1243.23 , 1221.00      152.68
   1.83             4.5                  0.93% , 1.15          809.47 , 821.00          386.40 , 342.00            1243.39 , 1221.00       55.93
   1.83            1.02                  0.94% , 0.99          818.18 , 821.00          332.64 , 342.00            1198.63 , 1221.00       12.18
   1.85            2.69                  0.95% , 1.10          826.88 , 821.00          369.60 , 342.00            1243.59 , 1221.00       33.48
   1.86            6.73                  0.89% , 1.12          774.66 , 821.00          376.32 , 342.00            1198.31 , 1221.00       80.66
   1.87            9.59                  0.87% , 1.17          757.25 , 821.00          393.12 , 342.00            1198.11 , 1221.00      114.87
   1.88            5.26                  1.00% , 0.97          870.40 , 821.00          325.92 , 342.00            1243.91 , 1221.00       65.48
   1.89            7.82                  0.99% , 0.86          861.70 , 821.00          288.96 , 342.00            1197.95 , 1221.00       93.74
   1.89            8.01                  1.02% , 0.92          887.81 , 821.00          309.12 , 342.00            1244.11 , 1221.00       99.69
    1.9            4.97                  0.97% , 0.91          844.29 , 821.00          305.76 , 342.00            1197.75 , 1221.00       59.53
   1.92             6.0                  0.92% , 1.18          800.77 , 821.00          396.48 , 342.00            1244.47 , 1221.00       74.71
   1.93            2.31                  0.92% , 1.04          800.77 , 821.00          349.44 , 342.00            1197.43 , 1221.00       27.67
   1.95            5.17                  0.90% , 1.09          783.36 , 821.00          366.24 , 342.00            1197.23 , 1221.00       61.88
   1.95            2.74                  0.97% , 1.05          844.29 , 821.00          352.80 , 342.00            1244.79 , 1221.00       34.09
   1.96            3.75                  0.99% , 1.00          861.70 , 821.00          336.00 , 342.00            1244.99 , 1221.00        46.7
   1.98             9.4                  1.00% , 0.83          870.40 , 821.00          278.88 , 342.00            1196.87 , 1221.00      112.52
   1.99           10.75                  1.04% , 0.87          905.22 , 821.00          292.32 , 342.00            1245.31 , 1221.00       133.9
    2.0            2.12                  0.95% , 0.96          826.88 , 821.00          322.56 , 342.00            1196.55 , 1221.00       25.32
   2.01            13.5                  1.06% , 0.82          922.62 , 821.00          275.52 , 342.00            1245.51 , 1221.00       168.1
   2.02            1.18                  0.93% , 1.01          809.47 , 821.00          339.36 , 342.00            1196.35 , 1221.00       14.17
   2.02            3.25                  0.94% , 1.13          818.18 , 821.00          379.68 , 342.00            1245.67 , 1221.00        40.5
   2.04            8.03                  0.88% , 1.14          765.95 , 821.00          383.04 , 342.00            1196.03 , 1221.00       96.09
   2.04             3.6                  0.91% , 1.06          792.06 , 821.00          356.16 , 342.00            1196.15 , 1221.00        43.1
   2.04            2.85                  0.96% , 1.08          835.58 , 821.00          362.88 , 342.00            1245.87 , 1221.00       35.46
   2.05            2.89                  0.98% , 1.03          852.99 , 821.00          346.08 , 342.00            1246.07 , 1221.00       36.07
   2.06            10.9                  0.86% , 1.19          748.54 , 821.00          399.84 , 342.00            1195.83 , 1221.00       130.3
   2.06           10.98                  1.01% , 0.80          879.10 , 821.00          268.80 , 342.00            1195.79 , 1221.00       131.3
   2.06            6.49                  1.01% , 0.95          879.10 , 821.00          319.20 , 342.00            1246.19 , 1221.00        80.9
   2.07            6.55                  0.98% , 0.88          852.99 , 821.00          295.68 , 342.00            1195.67 , 1221.00       78.31
   2.08            9.24                  1.03% , 0.90          896.51 , 821.00          302.40 , 342.00            1246.39 , 1221.00      115.11
   2.09            3.69                  0.96% , 0.93          835.58 , 821.00          312.48 , 342.00            1195.47 , 1221.00        44.1
    2.1           11.98                  1.05% , 0.85          913.92 , 821.00          285.60 , 342.00            1246.59 , 1221.00      149.32
   2.11            4.76                  0.93% , 1.16          809.47 , 821.00          389.76 , 342.00            1246.75 , 1221.00       59.29
   2.11             1.3                  0.94% , 0.98          818.18 , 821.00          329.28 , 342.00            1195.27 , 1221.00       15.54
