Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    3.63              4.13          0.96% , 1.17          835.58 , 809.00           196.56 , 184.00            1079.53 , 1126.00      39.14
    3.65             10.44          0.89% , 1.11          774.66 , 809.00           186.48 , 184.00            1008.45 , 1126.00      36.82
    3.65             10.83          0.90% , 1.03          783.36 , 809.00           173.04 , 184.00            1004.01 , 1126.00       36.6
    3.65             10.76          0.93% , 0.88          809.47 , 809.00           147.84 , 184.00            1004.81 , 1126.00      36.63
    3.65              4.07          0.97% , 1.12          844.29 , 809.00           188.16 , 184.00            1080.13 , 1126.00      39.45
    3.68             10.89          0.89% , 1.08          774.66 , 809.00           181.44 , 184.00            1003.41 , 1126.00       36.9
    3.69              4.82          0.97% , 1.07          844.29 , 809.00           179.76 , 184.00            1071.73 , 1126.00      39.53
    3.72              8.75          0.90% , 1.17          783.36 , 809.00           196.56 , 184.00            1027.53 , 1126.00       38.2
    3.72              6.37          0.96% , 1.02          835.58 , 809.00           171.36 , 184.00            1054.33 , 1126.00      39.22
    3.75              7.91          0.95% , 0.97          826.88 , 809.00           162.96 , 184.00            1036.93 , 1126.00      38.92
    3.76             10.97          0.92% , 0.92          800.77 , 809.00           154.56 , 184.00            1002.53 , 1126.00      37.67
    3.78              9.37          0.94% , 0.92          818.18 , 809.00           154.56 , 184.00            1020.53 , 1126.00      38.62
    3.78              3.98          0.96% , 1.18          835.58 , 809.00           198.24 , 184.00            1081.21 , 1126.00      40.82
    3.79             10.93          0.91% , 0.97          792.06 , 809.00           162.96 , 184.00            1002.93 , 1126.00      37.98
     3.8              3.92          0.97% , 1.13          844.29 , 809.00           189.84 , 184.00            1081.81 , 1126.00      41.13
    3.81             10.29          0.89% , 1.12          774.66 , 809.00           188.16 , 184.00            1010.13 , 1126.00       38.5
    3.82             10.98          0.90% , 1.02          783.36 , 809.00           171.36 , 184.00            1002.33 , 1126.00      38.28
    3.82             10.91          0.93% , 0.87          809.47 , 809.00           146.16 , 184.00            1003.13 , 1126.00      38.31
    3.85             11.04          0.89% , 1.07          774.66 , 809.00           179.76 , 184.00            1001.73 , 1126.00      38.58
    3.85              4.97          0.97% , 1.06          844.29 , 809.00           178.08 , 184.00            1070.05 , 1126.00      41.21
    3.87               8.6          0.90% , 1.18          783.36 , 809.00           198.24 , 184.00            1029.21 , 1126.00      39.88
    3.89              6.51          0.96% , 1.01          835.58 , 809.00           169.68 , 184.00            1052.65 , 1126.00       40.9
    3.92              8.06          0.95% , 0.96          826.88 , 809.00           161.28 , 184.00            1035.25 , 1126.00       40.6
    3.93             11.11          0.92% , 0.91          800.77 , 809.00           152.88 , 184.00            1000.85 , 1126.00      39.35
    3.93              3.83          0.96% , 1.19          835.58 , 809.00           199.92 , 184.00            1082.89 , 1126.00       42.5
    3.95              3.78          0.97% , 1.14          844.29 , 809.00           191.52 , 184.00            1083.49 , 1126.00      42.81
    3.96             11.08          0.91% , 0.96          792.06 , 809.00           161.28 , 184.00            1001.25 , 1126.00      39.66
    3.96              9.52          0.94% , 0.91          818.18 , 809.00           152.88 , 184.00            1018.85 , 1126.00       40.3
    3.97             10.14          0.89% , 1.13          774.66 , 809.00           189.84 , 184.00            1011.81 , 1126.00      40.18
    3.99             11.13          0.90% , 1.01          783.36 , 809.00           169.68 , 184.00            1000.65 , 1126.00      39.96
    3.99             11.06          0.93% , 0.86          809.47 , 809.00           144.48 , 184.00            1001.45 , 1126.00      39.99
    4.01              5.12          0.97% , 1.05          844.29 , 809.00           176.40 , 184.00            1068.37 , 1126.00      42.89
    4.03             11.19          0.89% , 1.06          774.66 , 809.00           178.08 , 184.00            1000.05 , 1126.00      40.26
    4.03              8.45          0.90% , 1.19          783.36 , 809.00           199.92 , 184.00            1030.89 , 1126.00      41.56
    4.05              6.66          0.96% , 1.00          835.58 , 809.00           168.00 , 184.00            1050.97 , 1126.00      42.58
    4.09              8.21          0.95% , 0.95          826.88 , 809.00           159.60 , 184.00            1033.57 , 1126.00      42.28
     4.1              3.63          0.97% , 1.15          844.29 , 809.00           193.20 , 184.00            1085.17 , 1126.00      44.49
    4.11             11.26          0.92% , 0.90          800.77 , 809.00           151.20 , 184.00             999.17 , 1126.00      41.03
    4.13              9.99          0.89% , 1.14          774.66 , 809.00           191.52 , 184.00            1013.49 , 1126.00      41.86
    4.13              9.67          0.94% , 0.90          818.18 , 809.00           151.20 , 184.00            1017.17 , 1126.00      41.98
